Year,Harvested_Area_ha,Rice_Prod_tonnes,Prod_To_Area
1960,5643000,9508000,1.68
1961,6179000,9886000,1.6
1962,6191000,10992000,1.78
1963,6354000,11585000,1.82
1964,5971000,11362000,1.9
1965,5960000,10977000,1.84
1966,7000000,11947000,1.71
1967,5807000,9626000,1.66
1968,6336000,10439000,1.65
1969,7259000,13411000,1.85
1970,6854000,13570000,1.98
1971,7095000,13744000,1.94
1972,6780000,12412000,1.83
1973,7680000,14900000,1.94
1974,7512000,13386000,1.78
1975,8357000,15300000,1.83
1976,8167000,15067000,1.84
1977,8750000,13921000,1.59
1978,8935000,17470000,1.96
1979,8654000,15758000,1.82
1980,9200000,17368000,1.89
1981,9105000,17776000,1.95
1982,8940000,16877000,1.89
1983,9606000,19548000,2.03
1984,9629000,19905000,2.07
1985,9833000,20264000,2.06
1986,9659000,18868000,1.95
1987,9147000,18427000,2.01
1988,9906000,21264000,2.15
1989,9879000,20602000,2.09
1990,8792000,17192000,1.96
1991,9053000,20400000,2.25
1992,9160000,19917000,2.17
1993,8676000,19200000,2.21
1994,9196000,21400000,2.33
1995,9032000,21800000,2.41
1996,9267000,20700000,2.23
1997,9937000,23500000,2.36
1998,9900000,23620000,2.39
1999,9970000,25000000,2.51
2000,9891000,25844000,2.61
2001,10125000,26514000,2.62
2002,10158000,26058000,2.57
2003,10315000,27289000,2.65
2004,9995000,26303000,2.63
2005,10220000,27576000,2.7
2006,10270000,27652000,2.69
2007,10830000,30000000,2.77
2008,10800000,30076000,2.78
2009,10940000,30697000,2.81
2010,10667000,30700000,2.88
2011,11000000,31000000,2.82
2012,10837000,30606000,2.82
2013,10920000,31000000,2.84
2014,10270000,28409000,2.77
2015,9444000,23939000,2.53
2016,10247000,29091000,2.84
2017,10684000,30864000,2.89
2018,11140000,32121000,2.88
